disease,first_line_treatment,medications,home_remedies,lifestyle_changes,specialist,emergency_signs,prognosis,duration
Common Cold,Symptomatic relief and rest,"Paracetamol (500mg every 4-6h for fever/pain), Cetirizine (10mg once daily for runny nose), Dextromethorphan (cough syrup)","Honey and ginger tea, Steam inhalation, Salt water gargle, Warm soups, Rest","Stay hydrated (8+ glasses water), Avoid cold air, Wash hands frequently",General Physician,"Fever above 39°C, Difficulty breathing, Symptoms lasting more than 10 days",Excellent — self-limiting,7-10 days
Influenza (Flu),Antiviral therapy within 48h of onset + rest,"Oseltamivir/Tamiflu (75mg twice daily for 5 days), Paracetamol (500-1000mg every 6h), Ibuprofen (400mg every 6-8h for adults)","Honey lemon tea, Chicken soup, Ginger tea, Steam inhalation, Rest","Avoid contact with others, Stay home, Wash hands, Annual flu vaccine",General Physician / Infectious Disease,"Difficulty breathing, Persistent chest pain, Confusion, Severe vomiting, Blue lips",Good with treatment,1-2 weeks
COVID-19,Isolation and symptomatic management,"Paracetamol (500-1000mg every 6h), Ibuprofen if needed, Dexamethasone for severe cases, Antivirals (Paxlovid if eligible)","Rest, Stay hydrated, Honey and ginger, Steam inhalation, Vitamin C","Isolation for 5+ days, Monitor oxygen levels, Stay vaccinated, Wear mask",Infectious Disease / Pulmonologist,"SpO2 below 94%, Severe shortness of breath, Persistent chest pain, Confusion",Good in most cases — severe in elderly/immunocompromised,10-14 days mild; weeks for severe
Pneumonia,Antibiotics + rest + hydration,"Amoxicillin-Clavulanate (875mg twice daily), Azithromycin (500mg once daily for 5 days), Paracetamol for fever, Cough suppressants","Steam inhalation, Warm fluids, Rest, Honey tea, Postural drainage","Avoid smoking, Pneumonia vaccine, Adequate rest, Avoid cold environments",Pulmonologist,"SpO2 below 90%, Severe breathing difficulty, High fever above 40°C, Coughing blood",Good with early antibiotics; severe can be life-threatening,2-4 weeks
Asthma,Bronchodilators + inhaled corticosteroids + avoidance of triggers,"Salbutamol/Albuterol inhaler (2 puffs as needed), Budesonide inhaler (daily controller), Montelukast (10mg once daily), Prednisolone (for acute attacks)","Steam inhalation, Breathing exercises, Avoid dust, Warm fluids","Identify and avoid triggers, Exercise regularly, Keep reliever inhaler handy, No smoking",Pulmonologist / Allergist,"Inability to speak in full sentences, No response to reliever inhaler, Blue lips, Severe breathlessness",Good with proper management — lifelong condition,Lifelong — managed with medication
Hypertension,Lifestyle modification + antihypertensive medication,"Amlodipine (5-10mg once daily), Losartan (50-100mg once daily), Hydrochlorothiazide (12.5-25mg once daily), Atenolol (50-100mg once daily)","Garlic, Hibiscus tea, Reduce salt, Lemon water, Beetroot juice","DASH diet, Regular exercise 30 min/day, Reduce salt intake, Quit smoking, Limit alcohol, Reduce stress, Monitor BP daily",Cardiologist,"Systolic BP above 180, Severe headache, Chest pain, Vision changes, Difficulty speaking",Controllable — requires lifelong management,Lifelong management
Heart Attack,Emergency revascularization — CALL 911 IMMEDIATELY,"Aspirin 325mg (chew immediately), Nitroglycerin sublingual, Thrombolytics (hospital), Beta-blockers, ACE inhibitors, Statins (long-term)","NONE — this is a medical emergency — call ambulance immediately","Cardiac rehabilitation post-recovery, Heart-healthy diet, No smoking, Exercise as advised",Cardiologist / Emergency Medicine,"ANY chest pain radiating to arm or jaw — this IS the emergency — call 911",Variable — depends on time to treatment,Hospitalization required; recovery 4-12 weeks
Type 2 Diabetes,Metformin + diet and exercise,"Metformin (500-2000mg daily in divided doses), Glibenclamide (5-20mg daily), Sitagliptin (100mg once daily), Insulin (if oral agents fail)","Bitter gourd juice, Fenugreek seeds, Cinnamon, Apple cider vinegar (diluted), Amla","Low-glycemic diet, Regular exercise 30 min/day, Weight loss, Glucose monitoring, Quit smoking, Annual eye exam",Endocrinologist / Diabetologist,"Blood sugar above 400 mg/dL, Ketoacidosis symptoms (fruity breath, vomiting), Hypoglycemia (shakiness, confusion)",Manageable — progressive if uncontrolled,Lifelong — controlled with lifestyle and medication
Hypothyroidism,Thyroid hormone replacement therapy,"Levothyroxine (25-200mcg once daily on empty stomach), dose adjusted per TSH levels","Iodine-rich foods (seaweed, iodized salt), Selenium foods (Brazil nuts), Limit raw goitrogenic vegetables","Take medication consistently, Regular TSH monitoring, Adequate iodine intake, Exercise to manage weight",Endocrinologist,"Myxedema coma (rare — severe cold intolerance, confusion, low BP)",Excellent with consistent medication,Lifelong medication required
Hyperthyroidism,Antithyroid drugs + beta-blockers for symptoms,"Methimazole (10-40mg daily), Propylthiouracil (100-300mg daily), Propranolol (20-80mg for palpitations), Radioactive iodine (definitive)","Lemon balm tea, Bugleweed, Avoid iodine-rich foods, Cooling techniques for heat intolerance","Avoid caffeine and stimulants, Adequate calcium intake, Regular monitoring, Stress reduction",Endocrinologist,"Thyroid storm (very high fever, rapid heart rate, confusion) — emergency",Good with treatment,3-18 months depending on treatment
Gastritis,Acid suppression + H.pylori treatment if present,"Omeprazole (20-40mg once daily before meals), Pantoprazole (40mg once daily), Antacids (Gaviscon/Maalox as needed), Amoxicillin + Clarithromycin (if H.pylori positive)","Aloe vera juice, Licorice root tea, Ginger tea, Avoid spicy foods, Small frequent meals","Avoid NSAIDs, Limit alcohol, Quit smoking, Reduce stress, Eat slowly, Avoid trigger foods",Gastroenterologist,"Vomiting blood, Black tarry stools, Severe abdominal pain, Unexplained weight loss",Good with treatment,2-8 weeks with medication
GERD,Proton pump inhibitors + lifestyle changes,"Omeprazole (20mg once daily), Esomeprazole (40mg once daily), Ranitidine (150mg twice daily), Metoclopramide (10mg before meals for motility)","Ginger tea, Aloe vera juice, Baking soda in water, Apple cider vinegar (diluted), Chamomile tea","Elevate head of bed 30cm, Avoid lying down 2-3h after eating, Lose weight, Avoid trigger foods (coffee, chocolate, spicy, fatty), Small meals, Quit smoking",Gastroenterologist,"Difficulty swallowing, Vomiting blood, Unexplained weight loss, Chest pain",Good with lifestyle changes and medication,Chronic — requires ongoing management
Migraine,Triptans for acute attacks + preventive therapy,"Sumatriptan (50-100mg at onset), Ibuprofen (400-600mg), Paracetamol (1000mg), Topiramate (preventive 25-100mg), Amitriptyline (preventive 10-75mg nightly)","Dark quiet room, Cold compress, Peppermint oil on temples, Ginger tea, Caffeine (small amount at onset)","Identify triggers (food, stress, sleep), Regular sleep schedule, Stay hydrated, Stress management, Exercise, Magnesium supplement",Neurologist,"First or worst headache of life, Thunderclap headache, Headache with fever and stiff neck, Neurological symptoms",Good — recurrent condition with proper management,4-72 hours per episode
Depression,Psychotherapy + antidepressants,"SSRIs: Fluoxetine (20-60mg), Sertraline (50-200mg), Escitalopram (10-20mg); SNRIs: Venlafaxine (75-225mg); TCAs: Amitriptyline (75-200mg) — all require prescription","Exercise (proven antidepressant effect), Omega-3 rich foods, St. John's Wort (mild depression), Social connection, Sunlight exposure","Regular exercise, Social support, Sleep hygiene, Mindfulness meditation, Limit alcohol, Healthy diet, Journaling",Psychiatrist / Psychologist,"Thoughts of self-harm or suicide — call emergency services immediately",Good with treatment — 60-80% respond to first medication,Weeks to months; may be recurrent
Anxiety Disorder,CBT (Cognitive Behavioral Therapy) + medication if needed,"SSRIs: Sertraline (50-200mg), Escitalopram (10-20mg); Buspirone (15-30mg); Benzodiazepines short-term only: Alprazolam (0.25-0.5mg); Beta-blockers for physical symptoms","Chamomile tea, Lavender aromatherapy, Deep breathing exercises, Meditation, Exercise, Limit caffeine","Regular exercise, Sleep hygiene, Mindfulness, Limit caffeine and alcohol, Journaling, Social support, CBT techniques",Psychiatrist / Psychologist,"Panic attack with chest pain (rule out cardiac), Suicidal thoughts",Good with therapy and medication,Ongoing — CBT highly effective
Urinary Tract Infection,Antibiotics + increased fluid intake,"Nitrofurantoin (100mg twice daily for 5 days — uncomplicated), Trimethoprim-Sulfamethoxazole (DS twice daily for 3 days), Ciprofloxacin (250-500mg twice daily for 3-7 days), Phenazopyridine for pain relief","Cranberry juice (unsweetened), Increased water intake (3+ litres/day), Probiotics, Avoid bladder irritants","Wipe front to back, Urinate after intercourse, Stay hydrated, Avoid holding urine, Cotton underwear, Avoid irritating soaps",Urologist (recurrent),"Fever with chills (kidney infection), Flank pain, Blood in urine, Pregnancy",Excellent for uncomplicated UTI,3-7 days with antibiotics
Kidney Stones,Pain management + hydration + possible lithotripsy,"Diclofenac (75mg IM for acute pain), Tamsulosin (0.4mg to help pass stone), Ketorolac (IV in hospital); Lithotripsy for large stones","Lots of water (3+ litres/day), Lemon juice (citrate), Avoid high-oxalate foods (spinach, nuts), Reduce salt","High fluid intake, Limit sodium, Limit animal protein, Limit oxalate-rich foods, Lemon water daily, Maintain healthy weight",Urologist,"Fever with stone (infected obstructed kidney — emergency), Intractable pain, Complete blockage",Good — most small stones pass spontaneously,Hours to weeks depending on stone size
Dengue Fever,Supportive care — no specific antiviral exists,"Paracetamol (NOT ibuprofen or aspirin — risk of bleeding), IV fluids if needed, Platelet transfusion if severely low, Monitor platelet count daily","Papaya leaf juice (may help platelets), Coconut water, High fluid intake, Rest","Rest, Mosquito protection, Monitor for warning signs, Avoid mosquito breeding sites",Infectious Disease / Internal Medicine,"Severe abdominal pain, Vomiting blood, Rapid breathing, Platelet below 20000, Bleeding gums",Good in most cases; dengue hemorrhagic fever is serious,7-14 days
Malaria,Antimalarial drugs — must confirm with blood smear,"Artemether-Lumefantrine (first-line uncomplicated), Chloroquine (where sensitive), IV Artesunate (severe malaria), Primaquine (P. vivax relapse prevention)","Plenty of fluids, Paracetamol for fever, Cool compresses, Rest, Neem (traditional)","Mosquito nets, Insect repellent, Prophylaxis for travelers, Drain stagnant water, Wear long sleeves at night",Infectious Disease,"Altered consciousness, Severe anemia, Respiratory distress, Jaundice, Seizures",Good if treated early; severe falciparum can be fatal,Uncomplicated: 3-5 days treatment; severe: hospitalization
Anemia,Identify and treat underlying cause + iron/B12 supplementation,"Ferrous sulfate (325mg 3x daily for iron deficiency), Folic acid (5mg daily), Vitamin B12 (1000mcg IM monthly for B12 deficiency), Erythropoietin (if chronic kidney disease)","Iron-rich foods: spinach, lentils, red meat, liver; Vitamin C with iron foods; Avoid tea/coffee with meals","Iron-rich diet, Vitamin C with iron foods, Treat underlying bleeding source, Regular monitoring, Avoid tea/coffee near meals",Hematologist,"Chest pain, Severe shortness of breath, Confusion, Heart palpitations",Excellent with appropriate treatment of underlying cause,Months depending on cause
Rheumatoid Arthritis,DMARDs + NSAIDs + physical therapy,"Methotrexate (7.5-25mg weekly — first-line DMARD), Hydroxychloroquine (200-400mg daily), Sulfasalazine (2-3g daily), Naproxen (500mg twice daily for pain), Prednisolone (short-term flares)","Turmeric (curcumin), Fish oil (omega-3), Warm/cold compresses, Gentle exercise, Rest during flares","Low-impact exercise, Physical therapy, Protect joints, Quit smoking, Healthy weight, Anti-inflammatory diet",Rheumatologist,"Sudden severe joint swelling, Fever with joint pain, Difficulty performing daily activities",Manageable — not curable; early treatment prevents joint damage,Lifelong — remission possible with DMARDs
Gout,NSAIDs for acute attacks + urate-lowering therapy long-term,"Indomethacin (50mg 3x daily for acute), Colchicine (0.5mg 2-3x daily acute), Allopurinol (100-300mg daily for prevention), Febuxostat (40-80mg daily), Prednisolone (if NSAIDs contraindicated)","Cherry juice (reduces uric acid), Ice pack on joint, Rest, Hydration, Avoid purine-rich foods during attack","Low-purine diet (limit red meat, organ meats, shellfish, alcohol especially beer), Increase water intake, Lose weight, Avoid fructose",Rheumatologist,"Fever with joint pain (rule out septic arthritis), Multiple joint involvement",Excellent — well-controlled with medication and diet,Acute attack: 3-10 days; prevention requires lifelong management
Tuberculosis,DOTS (Directly Observed Therapy Short-course) — 6 months minimum,"Standard regimen: Isoniazid + Rifampicin + Pyrazinamide + Ethambutol for 2 months; then Isoniazid + Rifampicin for 4 months; Pyridoxine (Vitamin B6) to prevent peripheral neuropathy","Nutritious high-protein diet, Rest, Fresh air, Sunlight, Vitamin D supplementation","Isolation during infectious phase, Complete full course of treatment, Contact tracing, BCG vaccine for children, Adequate nutrition",Pulmonologist / Infectious Disease,"Coughing blood, Severe breathing difficulty, Drug resistance (MDR-TB)",Curable with complete treatment — MDR-TB more challenging,6-9 months (standard); 18-24 months (MDR-TB)
Psoriasis,Topical corticosteroids + phototherapy + systemic agents for severe disease,"Betamethasone cream (0.05% topical), Calcipotriol cream (topical), Methotrexate (7.5-25mg weekly for moderate-severe), Cyclosporine (3-5mg/kg daily), Biologics (Adalimumab, Etanercept) for severe","Coal tar preparations, Aloe vera gel, Oatmeal baths, Coconut oil, Dead Sea salt baths","Avoid triggers (stress, infections, certain medications), Moisturize regularly, Avoid skin trauma, Moderate sun exposure, Quit smoking, Healthy weight",Dermatologist,"Erythrodermic psoriasis (widespread redness, requires hospitalization), Psoriatic arthritis",Chronic — periods of remission and flares; manageable,Chronic condition — treatment controls symptoms
