parameter,category,normal_range,unit,low_interpretation,high_interpretation,critical_low,critical_high,advice_low,advice_high
Hemoglobin,CBC,12.0-17.5,g/dL,Anemia — low red blood cell oxygen carrying capacity,Polycythemia — thickened blood increased clot risk,7.0,20.0,Iron supplementation required; investigate cause of blood loss; consult hematologist,Investigate for polycythemia vera; check erythropoietin levels; hematologist referral
Hematocrit,CBC,36-52,%,Anemia,Dehydration or polycythemia,21,60,Hydrate adequately; iron and B12 supplementation; identify cause,Check for dehydration; polycythemia workup needed
WBC (White Blood Cells),CBC,4000-11000,cells/µL,Leukopenia — increased infection risk,Leukocytosis — possible infection or leukemia,2000,30000,Risk of infection high; avoid crowds; check bone marrow if persistent,Possible bacterial infection or leukemia; blood culture and differential needed
Platelets,CBC,150000-400000,cells/µL,Thrombocytopenia — increased bleeding risk,Thrombocytosis — increased clot risk,50000,1000000,Avoid trauma; investigate for ITP or bone marrow issues; hematologist referral,Investigate reactive vs essential thrombocytosis; aspirin may be indicated
RBC (Red Blood Cells),CBC,4.2-5.9,million/µL,Anemia,Polycythemia,3.0,7.0,Iron/B12/folate deficiency possible; investigate cause,Polycythemia workup; check erythropoietin
MCV (Mean Corpuscular Volume),CBC,80-100,fL,Microcytic anemia — iron deficiency or thalassemia,Macrocytic anemia — B12 or folate deficiency,60,120,Iron supplementation; thalassemia screen; serum ferritin,Vitamin B12 and folate levels; check for liver disease or alcohol use
MCH,CBC,27-33,pg,Iron deficiency or thalassemia,B12 or folate deficiency,20,40,Serum iron and TIBC; thalassemia screen,Serum B12 and folate; check thyroid function
MCHC,CBC,32-36,g/dL,Iron deficiency anemia,Hereditary spherocytosis,28,38,Iron studies needed,Peripheral blood smear; hemolysis workup
Neutrophils,CBC Differential,40-70,%,Neutropenia — high infection risk (viral or bone marrow),Neutrophilia — bacterial infection or steroid use,20,90,Isolate from infection; blood culture; urgent hematology consult,Blood culture; consider antibiotic treatment; rule out chronic inflammation
Lymphocytes,CBC Differential,20-40,%,Low immunity — HIV or chemotherapy effect,Viral infection or lymphocytic leukemia,10,60,HIV test; check for immunodeficiency; viral screen,EBV/CMV/HIV test; lymphocyte subset analysis; hematology referral
Eosinophils,CBC Differential,1-6,%,Normal or low (usually not clinically significant),"Allergy, parasitic infection, or eosinophilic disorder",0.5,25,Not typically concerning,Stool for parasites; IgE levels; allergy workup; eosinophilic disorder screen
Fasting Blood Glucose,Metabolic,70-100,mg/dL,Hypoglycemia — low blood sugar,Hyperglycemia — diabetes or pre-diabetes,50,400,Eat small frequent meals; rule out insulinoma; glucose management,HbA1c test; diabetes management; diet and lifestyle change; metformin if diabetic
Random Blood Glucose,Metabolic,<140,mg/dL,Hypoglycemia,Diabetes or pre-diabetes (>200 with symptoms),50,400,Check fasting glucose; rule out medication effect,Fasting glucose and HbA1c; diabetes evaluation; dietary changes
