disease,symptoms,severity,category,icd_code
Common Cold,"runny nose,sneezing,sore throat,mild fever,congestion,cough,watery eyes",mild,Respiratory,J00
Influenza (Flu),"high fever,body aches,fatigue,headache,chills,sore throat,cough,runny nose,vomiting",moderate,Respiratory,J11.1
COVID-19,"fever,dry cough,fatigue,loss of taste,loss of smell,shortness of breath,body aches,headache,sore throat,diarrhea",moderate,Respiratory,U07.1
Pneumonia,"high fever,chills,cough with phlegm,chest pain,shortness of breath,fatigue,nausea,rapid breathing",severe,Respiratory,J18.9
Bronchitis,"persistent cough,mucus production,fatigue,shortness of breath,mild fever,chest discomfort,wheezing",moderate,Respiratory,J40
Asthma,"wheezing,shortness of breath,chest tightness,coughing at night,difficulty breathing,breathlessness on exertion",moderate,Respiratory,J45.9
Allergic Rhinitis,"sneezing,runny nose,itchy eyes,nasal congestion,watery eyes,itchy nose,postnasal drip",mild,Allergy,J30.1
Sinusitis,"facial pain,nasal congestion,thick nasal discharge,headache,loss of smell,cough,fever,toothache",moderate,Respiratory,J32.9
Tonsillitis,"sore throat,swollen tonsils,fever,difficulty swallowing,swollen lymph nodes,bad breath,muffled voice",moderate,ENT,J35.0
Strep Throat,"severe sore throat,fever,swollen lymph nodes,difficulty swallowing,red tonsils,white patches on throat,headache",moderate,ENT,J02.0
Hypertension,"headache,dizziness,blurred vision,chest pain,shortness of breath,nosebleed,palpitations,fatigue",moderate,Cardiovascular,I10
Heart Attack,"chest pain,chest tightness,pain radiating to arm,shortness of breath,sweating,nausea,dizziness,jaw pain,back pain",critical,Cardiovascular,I21.9
Angina,"chest pain on exertion,shortness of breath,fatigue,dizziness,nausea,sweating",moderate,Cardiovascular,I20.9
Arrhythmia,"palpitations,rapid heartbeat,slow heartbeat,dizziness,shortness of breath,chest discomfort,fainting",moderate,Cardiovascular,I49.9
Heart Failure,"shortness of breath,fatigue,swollen ankles,rapid heartbeat,persistent cough,reduced ability to exercise,wheezing",severe,Cardiovascular,I50.9
Type 2 Diabetes,"frequent urination,excessive thirst,unexplained weight loss,fatigue,blurry vision,slow healing wounds,frequent infections,numbness in hands or feet",moderate,Endocrine,E11.9
Type 1 Diabetes,"frequent urination,excessive thirst,rapid weight loss,fatigue,extreme hunger,blurry vision,irritability,bed-wetting in children",severe,Endocrine,E10.9
Hypoglycemia,"shakiness,sweating,hunger,dizziness,confusion,rapid heartbeat,pale skin,irritability,headache",moderate,Endocrine,E16.0
Hypothyroidism,"fatigue,weight gain,cold intolerance,constipation,dry skin,hair loss,slow heart rate,depression,memory problems",moderate,Endocrine,E03.9
Hyperthyroidism,"weight loss,rapid heartbeat,increased appetite,nervousness,tremors,sweating,heat intolerance,fatigue,frequent bowel movements",moderate,Endocrine,E05.9
Gastritis,"stomach pain,nausea,vomiting,bloating,indigestion,loss of appetite,burning sensation in stomach",moderate,Gastrointestinal,K29.7
